Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
475 Clermont Avenue,,Fitness Factory Health Club,RXR Realty,Brooklyn,18000,,,Fort Greene,01/10/2020,,"Jason Pennington, Andrew Clemens, Benjamin Weiner, Jessica Hedrington",Retail Leasing,01/10/2020,,RIPCO Real Estate,,,
10 Union Square East,,Target,Empire State Realty Trust,Manhattan,32579,,,Gramercy,01/09/2020,,,Retail Leasing,01/10/2020,,,,,
225 47th Street,,20/20 Night Club,Dib Management,Brooklyn,13000,,,Sunset Park,01/09/2020,Julio Reyes,Julio Reyes,Retail Leasing,01/10/2020,Reyes & Elsamad Real Estate Group,Reyes & Elsamad Real Estate Group,,,
138 Spring Street,,Mackage,JSRE Acquisitions,Manhattan,4500,,,Soho,01/08/2020,Michael Yadegard,Roy Dervich,Retail Leasing,01/10/2020,Compass,Breakwater Holdings,,,
116 West Houston Street,,Kitopi,Y&H Realty Corporation,Manhattan,7500,,,Greenwich Village,01/07/2020,"Tarik Bouzourene, Aziz Kabbaj","Peter Braus, Gregg Gropper",Retail Leasing,01/10/2020,Reshape,Lee & Associates,,,
73 West Houston Street,,Elvis + Elvin New York,Manhattan Skyline Management,Manhattan,500,,,Soho,01/07/2020,,Joshua Roth,Retail Leasing,01/10/2020,,Manhattan Skyline Management,,,
379 Third Avenue,,Soft Swerve,Culinary Associates,Manhattan,475,,,Kips Bay,12/31/2019,Logan Ryan,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Meridian Retail Leasing,Buchbinder & Warren Realty Group,,,
1155 Sixth Avenue,,Gumption Coffee,Durst Organization,Manhattan,300,,,Times Square,12/27/2019,"Louis Franco, Jack Hurley, Joseph Isa","Louis Franco, Jack Hurley, Joseph Isa",Retail Leasing,01/10/2020,Isa Realty Group,Isa Realty Group,,,
15 Vanderbilt Avenue,,Kitopi,Balogh family,Brooklyn,4036,,,Fort Greene,12/26/2019,,,Retail Leasing,12/27/2019,,,,,
177 Ludlow Street,,Omakase,177 Ludlow SM DE,Manhattan,2000,,,Lower East Side,12/26/2019,"James Famularo, Dane Harlowe","James Famularo, Dane Harlowe",Retail Leasing,12/27/2019,Meridian Capital Group,Meridian Capital Group,,,
155 Seventh Avenue,,Blackwave Coffee,20th and Seventh,Manhattan,1253,,,Chelsea,12/23/2019,Alexander Karas,"Andrew Taub, Benjamin Birnbaum",Retail Leasing,01/10/2020,Winick Realty Group,Newmark Knight Frank,,,
707 Lexington Avenue,,Taco Bell,707-709 Lexington LLC,Manhattan,6434,,,Plaza District,12/18/2019,"Louis Franco, Joseph Isa","Louis Franco, Joseph Isa",Retail Leasing,12/27/2019,Isa Realty Group,Isa Realty Group,,,
7 Bell Slip,,Eleva,Park Tower Group,Brooklyn,1000,,,Greenpoint,12/18/2019,,,Retail Leasing,12/27/2019,,,,,
58 West 8th Street,,Sicily Street Food,Return to Home,Manhattan,1000,,,Greenwich Village,12/17/2019,Alex Karas,"William Abramson, Matthew Olden",Retail Leasing,01/10/2020,Winick Realty Group,Buchbinder & Warren Realty Group,,,
1384 Second Avenue,,InVite Health,Ferl Realty Company,Manhattan,710,,,Upper East Side,12/17/2019,Teddy Srour,David Graff,Retail Leasing,01/10/2020,Winick Realty Group,Compass,,,
535 Fifth Avenue,,Best Buy,Moinian Group,Manhattan,40839,,,Grand Central,12/16/2019,,,Retail Leasing,12/27/2019,,,,,
135 West 41st Street,,Club Nebula,"Tribeca Associates, Vanke",Manhattan,10000,,,Times Square,12/16/2019,"Mark Kapnick, Peter Braus, JP Sutro, Richard Kave","Mark Kapnick, Peter Braus, JP Sutro, Richard Kave",Retail Leasing,12/27/2019,Lee & Associates,Lee & Associates,,,
22-43 Jackson Avenue,,Trader Joe's,Circle F Capital,Queens,17000,,,Long Island City,12/11/2019,,,Retail Leasing,12/13/2019,,,,,
1515 Broadway,,RAD Entertainment Group,SL Green Realty,Manhattan,39436,,,Times Square,12/10/2019,,"Ariel Schuster, Ross Berkowitz, Jared Robins",Retail Leasing,12/13/2019,,Newmark Knight Frank,,,
304 Park Avenue South,,Walgreens,SL Green Realty,Manhattan,8458,,,Flatiron,12/10/2019,"Erin Grace, Michael Riley",,Retail Leasing,12/13/2019,JLL,,,,
20 East 49th Street,,20E49 Limoncello,20 E 49 St LLC,Manhattan,6128,,,Plaza District,12/10/2019,Irina Levieva,"Steven Baker, Kenneth Hochhauser",Retail Leasing,01/10/2020,Ostrov Realty Group,Winick Realty Group,,,
45 Rockefeller Plaza,,Riad Nasr & Lee Hanson,Tishman Speyer,Manhattan,18000,,,Plaza District,12/09/2019,,,Retail Leasing,12/13/2019,,,,,
240 Meeker Street,,City Kids,240 Meeker Avenue Corp,Brooklyn,11279,,,East Williamsburg,12/09/2019,"Peter Schubert, Abbie Cheng, Bill Strassman",Jeffrey Unger,Retail Leasing,12/13/2019,TerraCRG,Kalmon Dolgin,,,
5 Manhattan West,,Citizens,Brookfield Properties,Manhattan,40000,,,Hudson Yards,12/06/2019,,,Retail Leasing,12/06/2019,,,,,
233 West 42nd Street,,Target,Tishman Speyer,Manhattan,32942,,,Times Square,12/05/2019,,,Retail Leasing,12/06/2019,,,,,
